State,Total,Retirement,Survivors,Disability,Aged 65 or older,Year,Table_type
Oregon,"734,841","504,280","53,133","102,606","234,166",2011,Beneficiaries
Pennsylvania,"2,617,879","1,703,768","223,402","390,415","778,737",2011,Beneficiaries
Rhode Island,"207,122","137,226","12,912","35,905","60,221",2011,Beneficiaries
South Carolina,"956,097","604,445","69,754","172,568","268,765",2011,Beneficiaries
South Dakota,"156,102","107,167","13,459","18,415","51,940",2011,Beneficiaries
Tennessee,"1,287,683","780,479","103,471","241,802","356,033",2011,Beneficiaries
Texas,"3,551,961","2,159,395","323,199","552,723","1,070,002",2011,Beneficiaries
Utah,"335,444","219,591","22,939","44,698","106,329",2011,Beneficiaries
Vermont,"132,268","86,634","9,110","21,661","40,628",2011,Beneficiaries
Virginia,"1,318,580","856,653","101,508","206,849","392,130",2011,Beneficiaries
Washington,"1,127,126","755,720","79,639","168,044","358,369",2011,Beneficiaries
West Virginia,"451,039","237,020","47,646","96,330","121,178",2011,Beneficiaries
Wisconsin,"1,085,632","736,890","79,747","152,850","334,553",2011,Beneficiaries
Wyoming,"93,748","63,933","7,109","12,442","31,105",2011,Beneficiaries
Alabama,"1,111,578","691,111","94,819","246,344","367,287",2011,Benefits
Alaska,"87,416","60,660","5,708","14,013","34,853",2011,Benefits
Arizona,"1,282,882","945,705","91,219","173,967","507,146",2011,Benefits
Arkansas,"673,482","429,704","53,021","146,184","230,145",2011,Benefits
California,"5,760,530","4,156,065","444,020","784,608","2,247,689",2011,Benefits
Colorado,"815,841","591,581","62,541","111,825","324,714",2011,Benefits
Connecticut,"787,707","598,661","54,998","91,756","311,497",2011,Benefits
Delaware,"214,792","157,093","15,008","31,280","81,213",2011,Benefits
District of Columbia,"77,584","54,706","5,056","13,217","26,546",2011,Benefits
Florida,"4,429,118","3,292,862","322,493","579,177","1,751,693",2011,Benefits
Georgia,"1,684,659","1,152,035","128,541","294,088","587,374",2011,Benefits
Hawaii,"267,756","210,267","17,406","26,507","104,404",2011,Benefits
Idaho,"307,240","220,657","23,648","43,896","122,790",2011,Benefits
Illinois,"2,407,184","1,725,361","209,212","321,608","914,732",2011,Benefits
Indiana,"1,428,630","999,066","119,989","220,049","520,451",2011,Benefits
Iowa,"671,839","495,579","59,763","78,626","263,618",2011,Benefits
Kansas,"575,137","415,219","47,838","78,269","220,080",2011,Benefits
Kentucky,"954,128","572,313","88,425","223,446","317,209",2011,Benefits
Louisiana,"826,634","489,397","97,858","162,558","293,501",2011,Benefits
Maine,"319,869","217,332","24,395","59,237","118,898",2011,Benefits
Maryland,"1,026,641","749,243","76,999","139,448","381,670",2011,Benefits
Massachusetts,"1,324,894","937,430","95,796","213,651","497,590",2011,Benefits
Michigan,"2,419,079","1,671,824","200,191","390,284","874,700",2011,Benefits
Minnesota,"1,051,199","782,034","79,376","132,823","414,272",2011,Benefits
Mississippi,"624,863","388,767","51,442","137,338","202,780",2011,Benefits
Missouri,"1,313,771","898,517","106,255","228,599","477,861",2011,Benefits
Montana,"214,245","154,969","17,740","28,894","86,407",2011,Benefits
Nebraska,"350,845","257,076","30,431","43,338","138,285",2011,Benefits
Nevada,"489,418","362,172","32,098","69,259","199,158",2011,Benefits
New Hampshire,"308,497","220,906","19,513","51,183","117,500",2011,Benefits
New Jersey,"1,889,187","1,410,883","136,654","236,939","713,991",2011,Benefits
New Mexico,"388,287","266,907","30,455","64,619","146,318",2011,Benefits
New York,"3,934,524","2,826,704","288,942","582,992","1,425,010",2011,Benefits
North Carolina,"2,028,201","1,425,800","135,774","354,886","711,297",2011,Benefits
North Dakota,"128,944","91,929","14,188","14,471","52,029",2011,Benefits
Ohio,"2,425,438","1,658,929","245,562","357,566","918,383",2011,Benefits
Oklahoma,"774,739","522,663","68,105","133,261","281,019",2011,Benefits
Oregon,"845,343","621,863","64,261","114,064","329,749",2011,Benefits
Pennsylvania,"3,044,365","2,160,559","270,299","434,942","1,131,945",2011,Benefits
Rhode Island,"235,870","169,989","15,437","38,610","85,680",2011,Benefits
South Carolina,"1,073,608","741,216","75,593","194,095","380,599",2011,Benefits
South Dakota,"166,328","122,999","14,800","19,061","68,199",2011,Benefits
Tennessee,"1,411,408","946,888","112,935","261,517","496,064",2011,Benefits
Texas,"3,838,870","2,587,219","358,776","604,152","1,463,041",2011,Benefits
Utah,"379,672","272,808","27,953","49,184","154,135",2011,Benefits
Vermont,"147,883","106,496","10,577","22,505","56,718",2011,Benefits
Virginia,"1,498,922","1,060,916","115,028","231,403","554,368",2011,Benefits
Washington,"1,330,257","966,778","98,234","188,687","522,546",2011,Benefits
West Virginia,"487,983","287,051","52,775","109,855","166,461",2011,Benefits
Wisconsin,"1,265,027","930,512","97,429","168,678","485,032",2011,Benefits
Wyoming,"107,270","78,695","8,488","13,694","44,117",2011,Benefits
Alabama,"1,060,625","593,250","87,237","233,849","275,764",2012,Beneficiaries
Alaska,"84,875","54,559","5,247","12,931","27,824",2012,Beneficiaries
Arizona,"1,141,080","784,817","76,874","154,917","373,723",2012,Beneficiaries
Arkansas,"657,754","379,402","49,945","140,597","179,087",2012,Beneficiaries
California,"5,280,104","3,549,028","380,125","704,936","1,728,672",2012,Beneficiaries
Colorado,"748,595","510,098","52,831","103,473","245,274",2012,Beneficiaries
Connecticut,"640,252","453,319","41,604","81,125","207,899",2012,Beneficiaries
Delaware,"182,065","124,666","12,000","27,298","57,128",2012,Beneficiaries
District of Columbia,"77,277","50,090","4,972","14,183","22,331",2012,Beneficiaries
Florida,"4,004,631","2,783,356","273,378","537,803","1,316,543",2012,Beneficiaries
Georgia,"1,582,070","993,356","116,930","277,169","442,958",2012,Beneficiaries
Hawaii,"240,456","178,594","15,412","23,281","81,317",2012,Beneficiaries
Idaho,"288,285","191,857","20,008","42,382","93,383",2012,Beneficiaries
Illinois,"2,102,955","1,399,029","168,138","289,906","653,483",2012,Beneficiaries
Indiana,"1,244,610","794,377","96,674","203,621","361,623",2012,Beneficiaries
Iowa,"600,699","413,055","48,680","76,228","191,607",2012,Beneficiaries
Kansas,"507,529","337,197","38,522","74,640","156,689",2012,Beneficiaries
Kentucky,"930,153","503,830","82,622","209,409","246,274",2012,Beneficiaries
Louisiana,"826,385","440,231","91,275","154,283","228,607",2012,Beneficiaries
Maine,"314,392","197,320","21,811","58,922","95,009",2012,Beneficiaries
Maryland,"895,225","609,720","63,636","126,323","277,811",2012,Beneficiaries
Massachusetts,"1,185,319","772,056","78,281","200,147","361,219",2012,Beneficiaries
Michigan,"2,061,941","1,297,959","158,238","346,803","598,952",2012,Beneficiaries
Minnesota,"927,488","642,820","64,745","124,641","298,938",2012,Beneficiaries
Mississippi,"621,969","348,425","50,272","132,246","159,643",2012,Beneficiaries
Missouri,"1,212,560","759,607","91,085","218,208","353,284",2012,Beneficiaries
Montana,"203,292","137,824","15,258","27,897","67,981",2012,Beneficiaries
Nebraska,"317,489","216,593","24,984","42,016","101,770",2012,Beneficiaries
Nevada,"442,298","309,668","27,366","61,166","152,249",2012,Beneficiaries
New Hampshire,"271,189","178,404","15,681","47,094","83,360",2012,Beneficiaries
New Jersey,"1,525,539","1,059,903","105,630","198,641","478,234",2012,Beneficiaries
New Mexico,"382,365","240,337","28,346","63,286","117,335",2012,Beneficiaries
New York,"3,394,475","2,242,732","235,710","517,071","1,023,114",2012,Beneficiaries
North Carolina,"1,859,584","1,209,099","123,119","329,366","532,591",2012,Beneficiaries
North Dakota,"122,104","81,397","12,270","14,187","40,543",2012,Beneficiaries
Ohio,"2,204,313","1,379,221","203,397","345,176","667,037",2012,Beneficiaries
Oklahoma,"730,060","451,199","60,149","126,396","214,365",2012,Beneficiaries
Oregon,"757,029","523,412","52,666","105,885","245,306",2012,Beneficiaries
Pennsylvania,"2,660,380","1,739,572","218,133","403,388","802,008",2012,Beneficiaries
Rhode Island,"210,975","140,013","12,751","36,927","62,196",2012,Beneficiaries
South Carolina,"986,228","629,017","69,470","177,534","282,908",2012,Beneficiaries
South Dakota,"159,453","110,409","13,042","19,032","53,754",2012,Beneficiaries
Tennessee,"1,322,096","806,361","102,240","250,888","371,767",2012,Beneficiaries
Texas,"3,657,907","2,245,376","322,328","567,705","1,118,740",2012,Beneficiaries
Utah,"346,961","228,077","22,931","46,791","111,160",2012,Beneficiaries
Vermont,"135,597","89,351","8,973","22,313","42,377",2012,Beneficiaries
Virginia,"1,353,738","887,668","100,307","211,535","409,529",2012,Beneficiaries
Washington,"1,164,430","785,190","79,109","174,263","375,196",2012,Beneficiaries
West Virginia,"455,850","243,493","46,598","96,310","125,615",2012,Beneficiaries
Wisconsin,"1,110,160","758,614","78,231","157,689","346,787",2012,Beneficiaries
Wyoming,"96,294","66,192","6,978","12,777","32,446",2012,Beneficiaries
Alabama,"1,168,583","731,797","95,766","259,860","392,320",2012,Benefits
Alaska,"92,955","65,483","5,898","14,389","37,870",2012,Benefits
Arizona,"1,360,699","1,010,413","93,763","181,904","546,056",2012,Benefits
Arkansas,"703,762","453,473","53,490","151,316","244,100",2012,Benefits
California,"6,079,618","4,422,095","453,014","816,664","2,402,127",2012,Benefits
Colorado,"870,965","637,479","63,775","118,012","352,608",2012,Benefits
Connecticut,"821,722","627,774","55,339","95,196","329,238",2012,Benefits
Delaware,"227,689","167,910","15,344","32,742","87,736",2012,Benefits
District of Columbia,"81,684","57,714","5,076","14,162","28,096",2012,Benefits
Florida,"4,674,600","3,491,293","328,446","613,115","1,869,129",2012,Benefits
Georgia,"1,795,757","1,235,483","132,078","314,293","636,984",2012,Benefits
Hawaii,"282,090","223,285","17,798","26,984","111,408",2012,Benefits
Idaho,"326,189","235,725","24,117","46,695","132,157",2012,Benefits
Illinois,"2,512,699","1,813,488","210,379","334,801","967,405",2012,Benefits
Indiana,"1,495,447","1,051,232","121,331","231,722","552,223",2012,Benefits
Iowa,"700,508","520,365","59,620","82,126","278,030",2012,Benefits
Kansas,"601,445","436,523","48,082","82,261","232,807",2012,Benefits
Kentucky,"997,816","606,163","89,132","230,872","338,727",2012,Benefits
Louisiana,"866,118","518,986","99,133","169,672","312,859",2012,Benefits
Maine,"336,809","230,767","24,658","61,864","127,532",2012,Benefits
Maryland,"1,085,049","796,955","78,034","147,304","408,769",2012,Benefits
Massachusetts,"1,390,638","988,755","96,269","224,603","528,574",2012,Benefits
Michigan,"2,533,439","1,760,565","202,067","410,992","929,025",2012,Benefits
Minnesota,"1,109,205","830,844","80,138","139,862","442,536",2012,Benefits
Mississippi,"655,778","412,844","52,164","142,527","216,865",2012,Benefits
Missouri,"1,374,633","944,909","107,076","240,472","506,310",2012,Benefits
Montana,"225,410","164,672","17,925","29,936","92,582",2012,Benefits
Nebraska,"365,955","270,463","30,294","44,970","145,950",2012,Benefits
Nevada,"521,764","388,473","33,279","73,009","215,025",2012,Benefits
New Hampshire,"327,226","235,573","19,828","54,234","126,826",2012,Benefits
New Jersey,"1,973,195","1,481,029","137,868","246,485","754,744",2012,Benefits
New Mexico,"411,126","284,640","31,013","68,354","156,417",2012,Benefits
New York,"4,103,101","2,966,776","290,400","603,876","1,507,346",2012,Benefits
North Carolina,"2,144,964","1,520,383","138,559","371,107","767,220",2012,Benefits
North Dakota,"133,623","96,251","14,063","14,917","54,678",2012,Benefits
Ohio,"2,526,945","1,737,679","246,022","377,907","970,624",2012,Benefits
Oklahoma,"809,696","550,999","68,726","138,047","298,132",2012,Benefits
Oregon,"893,645","662,113","65,176","119,805","354,020",2012,Benefits
Pennsylvania,"3,177,910","2,267,863","270,547","457,258","1,197,650",2012,Benefits
Rhode Island,"246,717","178,490","15,598","40,473","90,879",2012,Benefits
South Carolina,"1,139,233","793,737","77,424","203,467","412,230",2012,Benefits
South Dakota,"174,758","130,474","14,703","20,016","72,691",2012,Benefits
Tennessee,"1,489,353","1,006,118","114,636","276,279","532,247",2012,Benefits
Texas,"4,060,142","2,763,815","366,405","630,730","1,572,389",2012,Benefits
Utah,"403,433","291,151","28,629","52,618","165,640",2012,Benefits
Vermont,"155,705","112,844","10,692","23,636","60,662",2012,Benefits
Virginia,"1,585,632","1,133,592","116,863","240,661","596,534",2012,Benefits
Washington,"1,411,130","1,032,290","100,050","199,050","561,562",2012,Benefits
West Virginia,"506,295","303,167","52,996","111,156","177,447",2012,Benefits
Wisconsin,"1,328,630","983,706","98,036","177,251","516,045",2012,Benefits
Wyoming,"113,249","83,829","8,570","14,279","47,359",2012,Benefits
Alabama,"1,081,046","612,315","85,880","237,304","285,540",2013,Beneficiaries
Alaska,"86,861","56,809","5,228","12,809","29,348",2013,Beneficiaries
Arizona,"1,174,944","816,833","76,610","156,298","390,783",2013,Beneficiaries
Arkansas,"666,172","389,390","49,151","140,953","184,133",2013,Beneficiaries
California,"5,414,499","3,677,319","377,897","711,206","1,797,123",2013,Beneficiaries
Colorado,"774,056","532,629","52,457","105,715","257,839",2013,Beneficiaries
Connecticut,"648,466","462,058","40,685","81,570","213,293",2013,Beneficiaries
Delaware,"187,246","129,888","11,881","27,468","59,633",2013,Beneficiaries
District of Columbia,"78,416","51,057","4,798","14,646","22,827",2013,Beneficiaries
Florida,"4,114,745","2,879,458","271,446","551,858","1,365,258",2013,Beneficiaries
Georgia,"1,632,953","1,037,318","116,362","283,114","464,610",2013,Beneficiaries
Hawaii,"246,477","184,442","15,306","23,328","84,601",2013,Beneficiaries
Idaho,"298,269","200,540","19,924","43,423","97,954",2013,Beneficiaries
Illinois,"2,133,829","1,433,504","164,656","291,729","671,766",2013,Beneficiaries
Indiana,"1,267,542","816,258","95,080","207,522","373,136",2013,Beneficiaries
Iowa,"609,067","422,005","47,484","77,493","196,225",2013,Beneficiaries
Kansas,"515,969","345,873","37,742","75,521","161,300",2013,Beneficiaries
Kentucky,"944,041","520,804","81,170","209,584","255,018",2013,Beneficiaries
Louisiana,"842,160","456,112","89,762","156,752","236,737",2013,Beneficiaries
Maine,"320,482","203,734","21,336","59,274","98,412",2013,Beneficiaries
Maryland,"917,497","629,322","62,517","129,435","288,018",2013,Beneficiaries
Massachusetts,"1,206,184","789,860","76,497","203,672","372,612",2013,Beneficiaries
Michigan,"2,098,078","1,332,234","155,374","353,667","617,583",2013,Beneficiaries
Minnesota,"948,229","662,906","63,300","126,696","309,404",2013,Beneficiaries
Mississippi,"632,191","360,086","49,469","132,736","165,295",2013,Beneficiaries
Missouri,"1,232,526","779,231","89,403","221,430","363,669",2013,Beneficiaries
Montana,"208,546","143,298","14,964","28,170","70,818",2013,Beneficiaries
Nebraska,"321,882","221,875","24,344","42,192","104,484",2013,Beneficiaries
Nevada,"459,536","324,383","27,660","62,983","160,065",2013,Beneficiaries
New Hampshire,"278,664","184,849","15,522","48,139","87,162",2013,Beneficiaries
New Jersey,"1,548,525","1,081,314","103,508","201,536","490,468",2013,Beneficiaries
New Mexico,"392,306","249,317","28,079","64,559","121,978",2013,Beneficiaries
New York,"3,444,200","2,295,428","231,133","519,601","1,052,337",2013,Beneficiaries
North Carolina,"1,907,394","1,255,185","121,879","332,799","555,829",2013,Beneficiaries
North Dakota,"123,363","83,395","11,868","14,135","41,545",2013,Beneficiaries
Ohio,"2,239,797","1,413,984","199,095","353,033","685,819",2013,Beneficiaries
Oklahoma,"741,822","462,687","59,299","127,973","220,343",2013,Beneficiaries
Oregon,"777,832","542,426","52,150","107,732","255,766",2013,Beneficiaries
Pennsylvania,"2,697,111","1,778,673","212,287","409,657","823,229",2013,Beneficiaries
Rhode Island,"214,095","142,813","12,492","37,312","63,881",2013,Beneficiaries
South Carolina,"1,014,683","655,835","68,773","179,893","296,561",2013,Beneficiaries
South Dakota,"162,695","114,092","12,730","19,216","55,744",2013,Beneficiaries
Tennessee,"1,348,004","833,350","100,768","252,532","386,178",2013,Beneficiaries
Texas,"3,756,420","2,336,147","320,634","574,276","1,166,802",2013,Beneficiaries
Utah,"356,984","236,488","22,985","47,616","115,876",2013,Beneficiaries
Vermont,"138,418","92,111","8,859","22,534","44,032",2013,Beneficiaries
Virginia,"1,384,419","919,957","99,013","211,424","426,484",2013,Beneficiaries
Washington,"1,197,824","814,852","78,509","177,421","391,396",2013,Beneficiaries
West Virginia,"460,494","251,474","45,667","95,060","129,767",2013,Beneficiaries
Wisconsin,"1,134,358","781,525","76,513","160,842","358,706",2013,Beneficiaries
Wyoming,"99,134","68,743","6,886","13,106","33,824",2013,Beneficiaries
Alabama,"1,222,936","776,135","96,594","267,542","417,181",2013,Benefits
Alaska,"97,786","69,937","6,037","14,507","40,929",2013,Benefits
Arizona,"1,436,771","1,078,263","95,504","185,905","584,930",2013,Benefits
Arkansas,"731,882","478,033","54,011","153,875","257,511",2013,Benefits
California,"6,385,417","4,689,785","459,316","836,941","2,553,249",2013,Benefits
Colorado,"925,092","683,656","64,865","122,716","380,297",2013,Benefits
Connecticut,"854,037","656,765","55,388","97,222","345,972",2013,Benefits
Delaware,"240,777","179,787","15,558","33,484","93,987",2013,Benefits
District of Columbia,"85,513","60,851","5,017","14,834","29,636",2013,Benefits
Florida,"4,924,575","3,704,473","333,354","638,495","1,985,482",2013,Benefits
Georgia,"1,901,327","1,323,859","134,601","325,685","684,732",2013,Benefits
Hawaii,"296,423","236,336","18,061","27,406","118,702",2013,Benefits
Idaho,"346,011","252,644","24,565","48,473","142,074",2013,Benefits
Illinois,"2,610,862","1,902,721","210,460","341,316","1,017,948",2013,Benefits
Indiana,"1,560,900","1,106,782","122,031","239,616","583,836",2013,Benefits
Iowa,"728,571","545,656","59,461","84,571","292,156",2013,Benefits
Kansas,"627,902","459,882","48,102","84,564","245,941",2013,Benefits
Kentucky,"1,040,087","643,172","89,800","234,471","360,183",2013,Benefits
Louisiana,"905,116","551,621","99,805","174,162","333,006",2013,Benefits
Maine,"352,605","244,824","24,657","63,202","135,453",2013,Benefits
Maryland,"1,144,155","847,344","78,508","153,376","435,684",2013,Benefits
Massachusetts,"1,452,820","1,040,122","96,199","232,347","559,128",2013,Benefits
Michigan,"2,637,905","1,848,985","202,812","424,103","980,227",2013,Benefits
Minnesota,"1,165,159","880,838","80,331","144,087","470,123",2013,Benefits
Mississippi,"684,993","438,362","52,613","145,127","230,624",2013,Benefits
Missouri,"1,432,365","993,808","107,422","247,600","534,048",2013,Benefits
Montana,"237,234","175,466","18,026","30,589","98,770",2013,Benefits
Nebraska,"381,367","284,753","30,222","45,803","153,925",2013,Benefits
Nevada,"554,818","416,391","34,319","76,206","231,223",2013,Benefits
New Hampshire,"346,045","251,389","20,143","56,342","136,258",2013,Benefits
New Jersey,"2,053,219","1,550,076","138,305","253,592","792,623",2013,Benefits
New Mexico,"432,570","302,881","31,447","70,536","166,592",2013,Benefits
New York,"4,262,027","3,108,874","291,140","614,426","1,584,677",2013,Benefits
North Carolina,"2,260,248","1,620,700","140,981","381,010","821,462",2013,Benefits
North Dakota,"139,058","101,606","13,928","15,064","57,839",2013,Benefits
Ohio,"2,626,678","1,821,963","245,980","391,634","1,020,841",2013,Benefits
Oklahoma,"844,203","580,346","69,379","141,467","314,551",2013,Benefits
Oregon,"940,453","702,891","66,063","123,390","377,696",2013,Benefits
Pennsylvania,"3,306,501","2,380,888","269,443","470,805","1,260,764",2013,Benefits
Rhode Island,"256,785","187,018","15,637","41,559","95,640",2013,Benefits
South Carolina,"1,204,469","850,516","78,625","209,194","443,933",2013,Benefits
South Dakota,"183,482","138,667","14,666","20,499","77,557",2013,Benefits
Tennessee,"1,559,929","1,068,151","115,715","282,153","567,232",2013,Benefits
Texas,"4,279,628","2,951,570","372,766","646,637","1,682,852",2013,Benefits
Utah,"426,372","310,152","29,408","54,358","177,245",2013,Benefits
Vermont,"163,301","119,416","10,779","24,271","64,506",2013,Benefits
Virginia,"1,669,228","1,209,691","118,433","243,799","638,837",2013,Benefits
Washington,"1,489,035","1,099,277","101,588","205,606","599,949",2013,Benefits
West Virginia,"524,739","321,298","53,216","110,792","188,183",2013,Benefits
Wisconsin,"1,392,058","1,039,296","98,162","183,389","547,199",2013,Benefits
Wyoming,"119,807","89,440","8,700","14,931","50,785",2013,Benefits
Alabama,"1,095,925","631,443","84,463","236,857","294,803",2014,Beneficiaries
Alaska,"89,047","59,221","5,246","12,641","30,732",2014,Beneficiaries
Arizona,"1,207,102","849,142","76,677","156,217","407,572",2014,Beneficiaries
Arkansas,"673,193","399,334","48,324","140,453","188,763",2014,Beneficiaries
California,"5,538,810","3,804,073","376,501","709,509","1,865,084",2014,Beneficiaries
Colorado,"794,937","552,118","52,182","107,158","268,888",2014,Beneficiaries
Connecticut,"654,533","469,331","39,769","81,799","217,315",2014,Beneficiaries
Delaware,"192,187","134,871","11,903","27,404","61,953",2014,Beneficiaries
District of Columbia,"79,716","52,477","4,640","14,732","23,423",2014,Beneficiaries
Florida,"4,223,274","2,977,966","271,000","560,856","1,414,853",2014,Beneficiaries
Georgia,"1,676,778","1,079,189","116,028","285,394","485,728",2014,Beneficiaries
Hawaii,"251,591","189,864","15,197","23,174","87,868",2014,Beneficiaries
Idaho,"306,264","208,370","19,779","43,820","102,021",2014,Beneficiaries
Illinois,"2,155,290","1,463,959","160,955","289,730","688,388",2014,Beneficiaries
Indiana,"1,286,099","837,039","93,791","208,645","383,786",2014,Beneficiaries
Iowa,"616,301","431,181","46,080","78,016","201,158",2014,Beneficiaries
Kansas,"521,955","353,737","36,920","75,123","165,518",2014,Beneficiaries
Kentucky,"954,284","536,540","79,977","208,016","263,087",2014,Beneficiaries
Louisiana,"854,211","471,272","88,547","157,558","244,579",2014,Beneficiaries
Maine,"325,496","209,810","20,954","59,093","101,789",2014,Beneficiaries
Maryland,"936,372","647,917","61,429","130,696","297,258",2014,Beneficiaries
Massachusetts,"1,224,469","806,825","75,031","205,642","382,542",2014,Beneficiaries
Michigan,"2,121,776","1,363,480","152,275","353,522","634,781",2014,Beneficiaries
Minnesota,"965,018","680,724","61,904","127,364","319,101",2014,Beneficiaries
Mississippi,"640,772","371,473","48,758","132,596","170,897",2014,Beneficiaries
Missouri,"1,246,269","796,376","87,551","222,218","372,813",2014,Beneficiaries
Montana,"212,535","148,405","14,672","27,807","73,565",2014,Beneficiaries
Nebraska,"326,078","226,858","23,707","42,347","107,006",2014,Beneficiaries
Nevada,"475,811","338,621","27,804","64,243","167,417",2014,Beneficiaries
New Hampshire,"283,983","190,433","15,256","48,091","90,290",2014,Beneficiaries
New Jersey,"1,568,016","1,100,899","101,724","203,208","501,635",2014,Beneficiaries
New Mexico,"399,987","257,667","27,724","64,694","126,459",2014,Beneficiaries
New York,"3,482,978","2,345,599","226,428","516,900","1,080,556",2014,Beneficiaries
North Carolina,"1,948,531","1,299,071","120,801","332,173","577,039",2014,Beneficiaries
North Dakota,"124,372","85,385","11,372","14,048","42,493",2014,Beneficiaries
Ohio,"2,267,508","1,446,106","195,124","356,270","703,178",2014,Beneficiaries
Oklahoma,"749,794","472,916","58,457","127,712","225,441",2014,Beneficiaries
Oregon,"798,156","561,330","51,823","109,329","265,864",2014,Beneficiaries
Pennsylvania,"2,722,892","1,814,793","206,941","409,608","841,643",2014,Beneficiaries
Rhode Island,"216,029","145,063","12,256","37,422","65,538",2014,Beneficiaries
South Carolina,"1,040,971","683,006","68,220","179,872","310,507",2014,Beneficiaries
South Dakota,"165,499","117,284","12,460","19,250","57,324",2014,Beneficiaries
Tennessee,"1,371,562","860,375","99,456","252,231","399,683",2014,Beneficiaries
Texas,"3,842,249","2,424,311","319,026","574,012","1,212,758",2014,Beneficiaries
Utah,"365,730","244,753","22,946","47,947","120,389",2014,Beneficiaries
Vermont,"140,634","94,631","8,640","22,600","45,542",2014,Beneficiaries
Virginia,"1,415,661","950,681","97,874","212,945","442,175",2014,Beneficiaries
Washington,"1,230,039","844,816","78,141","179,192","407,567",2014,Beneficiaries
West Virginia,"464,823","258,928","45,053","93,837","133,475",2014,Beneficiaries
Wisconsin,"1,153,149","802,537","74,661","161,894","370,335",2014,Beneficiaries
Wyoming,"101,296","71,052","6,764","13,170","35,012",2014,Beneficiaries
Alabama,"1,276,223","823,373","97,577","271,434","442,441",2014,Benefits
Alaska,"103,133","74,885","6,209","14,511","43,985",2014,Benefits
Arizona,"1,517,597","1,151,231","97,841","188,778","625,262",2014,Benefits
Arkansas,"761,036","504,047","54,543","155,919","270,995",2014,Benefits
California,"6,701,027","4,971,892","467,517","849,092","2,710,053",2014,Benefits
Colorado,"977,802","729,047","66,154","126,656","407,115",2014,Benefits
Connecticut,"885,983","685,515","55,495","99,133","361,349",2014,Benefits
Delaware,"254,374","192,052","15,998","33,934","100,212",2014,Benefits
District of Columbia,"89,987","64,809","4,991","15,189","31,421",2014,Benefits
Florida,"5,190,945","3,934,274","340,571","660,234","2,108,740",2014,Benefits
Georgia,"2,006,085","1,414,361","137,785","333,487","733,576",2014,Benefits
Hawaii,"310,833","249,659","18,365","27,647","126,168",2014,Benefits
Idaho,"365,258","269,559","24,938","49,817","151,776",2014,Benefits
Illinois,"2,707,116","1,992,822","210,800","344,156","1,068,197",2014,Benefits
Indiana,"1,626,829","1,164,483","123,396","244,866","615,520",2014,Benefits
Iowa,"758,169","573,066","59,233","86,519","307,501",2014,Benefits
Kansas,"653,569","483,719","48,188","85,621","259,103",2014,Benefits
Kentucky,"1,081,642","680,486","90,825","236,818","381,456",2014,Benefits
Louisiana,"944,524","585,536","101,083","177,395","353,566",2014,Benefits
Maine,"368,682","259,403","24,797","64,121","143,676",2014,Benefits
Maryland,"1,203,106","898,988","79,283","157,549","461,946",2014,Benefits
Massachusetts,"1,517,385","1,093,577","96,781","239,183","588,961",2014,Benefits
Michigan,"2,736,513","1,939,179","203,774","429,633","1,031,222",2014,Benefits
Minnesota,"1,220,801","930,821","80,706","147,340","497,690",2014,Benefits
Mississippi,"714,962","464,890","53,289","147,564","244,750",2014,Benefits
Missouri,"1,487,510","1,042,768","107,852","252,491","561,206",2014,Benefits
Montana,"248,665","186,555","18,137","30,630","105,079",2014,Benefits
Nebraska,"397,847","299,863","30,179","46,663","162,122",2014,Benefits
Nevada,"588,318","445,161","35,228","78,886","247,252",2014,Benefits
New Hampshire,"363,341","266,797","20,328","57,310","145,024",2014,Benefits
New Jersey,"2,134,807","1,620,508","139,346","260,014","830,251",2014,Benefits
New Mexico,"453,482","321,549","31,792","71,762","177,044",2014,Benefits
New York,"4,421,858","3,256,080","292,159","620,187","1,663,393",2014,Benefits
North Carolina,"2,375,750","1,724,255","143,751","386,925","875,137",2014,Benefits
North Dakota,"144,728","107,356","13,702","15,165","61,075",2014,Benefits
Ohio,"2,725,919","1,908,590","246,681","401,323","1,071,238",2014,Benefits
Oklahoma,"877,523","610,127","70,109","143,271","330,584",2014,Benefits
Oregon,"990,560","746,405","67,206","127,245","401,980",2014,Benefits
Pennsylvania,"3,432,758","2,496,084","269,338","478,597","1,321,761",2014,Benefits
Rhode Island,"266,541","195,444","15,714","42,479","100,646",2014,Benefits
South Carolina,"1,272,517","911,359","80,261","212,767","477,564",2014,Benefits
South Dakota,"192,240","146,815","14,748","20,827","82,027",2014,Benefits
Tennessee,"1,633,490","1,133,787","117,323","286,694","602,672",2014,Benefits
Texas,"4,502,644","3,146,727","380,287","656,790","1,795,258",2014,Benefits
Utah,"449,903","330,222","30,148","55,703","189,331",2014,Benefits
Vermont,"170,863","126,180","10,780","24,787","68,357",2014,Benefits
Virginia,"1,758,795","1,287,629","120,430","249,879","681,033",2014,Benefits
Washington,"1,572,324","1,171,379","103,644","211,413","640,729",2014,Benefits
West Virginia,"544,609","339,834","53,868","110,899","198,775",2014,Benefits
Wisconsin,"1,454,566","1,096,219","98,168","187,659","579,220",2014,Benefits
Wyoming,"126,060","95,090","8,771","15,261","53,992",2014,Benefits
Alabama,"1,108,543","650,081","83,390","234,229","302,770",2015,Beneficiaries
Alaska,"91,960","62,053","5,336","12,620","32,318",2015,Beneficiaries
